п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"83827";"ООО Регул (массажный салон Вай Тай";"Москва, Краснохолмаская наб. 13, стр. 1";"ЦАО";"Аллигатор";"Супонников М.С.";"КВ";"55.73547139999999";"37.6515734";"12.05.2025";"https://durnovcev2000.kaiten.ru/33814787"
"138562";"ООО Место-Красоты/LaserLove";"Москва. пер. Мартыновский, д. 2";"ЦАО";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.755826";"37.6173";"12.05.2025";"https://durnovcev2000.kaiten.ru/43242566"
"90006";"ООО КБ «Кетовский» / Кетовский Коммерческий Банк (ДО «Столичный»";"Москва, Садовая-Черногрязская улица, до 11/2";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7665192";"37.6525183";"12.05.2025";"https://durnovcev2000.kaiten.ru/43744806"
"138641";"ИП Плотников Андрей Алексеевич, Кладовка ""СКЛАДНО""";"Москва набережная Космодамианская, д. 36";"ЦАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.73910189999999";"37.6439317";"12.05.2025";"https://durnovcev2000.kaiten.ru/43604352"
"131252";"ООО ""Клевер"" (Студия йоги и танца «Клевер»)";"г. Москва, ул. Покровка, д.21-23/25 стр.4";"ЦАО";"Гранит";"Гунин В.В.";"М";"55.7598487";"37.6471829";"12.05.2025";"https://durnovcev2000.kaiten.ru/32562974"
"1292";"ИП Иванова Ю.В. Салон красоты""Mone""";"г. Москва Сретенский бульвар д 1";"ЦАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.76653049999999";"37.6311872";"11.05.2025";"https://durnovcev2000.kaiten.ru/28044173"
"ТО455ТБ";"ИП Гусейнови Нурлан /Французская Пекарня French Bakery";"Москва г, Сретенский б-р, дом 6/1, строение 2";"ЦАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.7653614";"37.6350211";"11.05.2025";"https://durnovcev2000.kaiten.ru/28044829"
"ТО-1907";"ИП Гаспарян Армен Липаритович/Пекарня МаМан";"Москва г, Земляной Вал ул, дом 3/1, строение 6";"ЦАО";"Гранит";"Сергеев С.В.";"КВ";"55.7634217";"37.6575448";"11.05.2025";"https://durnovcev2000.kaiten.ru/32562635"
"1672";"ООО ЙОКО И КО  / магазин одежды «Unique Fabric»";"Москва г, ул Земляной Вал, д. 42/20";"ЦАО";"Технологии Безопасности";"Супонников М.С.";"КВ";"55.7545435";"37.6562729";"11.05.2025";"https://durnovcev2000.kaiten.ru/33084669"
"90043";"Ави Тайм, ресторан долма";"Москва ул. Сретенка 12";"ЦАО";"Гранит";"Супонников М.С.";"КВ";"55.7678784";"37.6321194";"11.05.2025";"https://durnovcev2000.kaiten.ru/28045036"
